Season,Rank,Last Name and First Name,Points
1994_1995,45,MAYR Ingemar,51
1994_1995,48,HAERE Frode,48
1994_1995,51,MALYSZ Adam,40
1994_1995,70,REVUZ Yannick,23
1994_1995,70,TURKKI T.,23
1994_1995,73,HOLSETER Sturle,20
1994_1995,73,TUFF Stein Henrik,20
1994_1995,76,DYBLIE Alf,13
1994_1995,76,HALVORSEN Eirik,13
1994_1995,76,YOSHIOKA Kazuya,13
1994_1995,82,HERR Alexander,9
1994_1995,82,SALO J.,9
1994_1995,86,KLINGA Jani,8
1994_1995,89,SMEDBYE Jostein,5
1994_1995,90,SHIBUYA Jyun,4
1994_1995,93,BOGATAJ Marko,1
1994_1995,93,ZUPANCIC Z.,1
1995_1996,8,SAITOH Hiroya,747
1995_1996,10,PETERKA Primoz,670
1995_1996,17,STEINAUER Marco,415
1995_1996,32,KUETTEL Andreas,181
1995_1996,50,UHRMANN Michael,73
1995_1996,53,VORVIK Arne,58
1995_1996,65,RADELJ Jure,24
1995_1996,67,REICHEL Frank,20
1995_1996,69,ZONTA Peter,19
1995_1996,73,KASAMA Noritaka,16
1995_1996,75,DOLEZAL Michal,13
1995_1996,75,HAUTAMAEKI Jussi,13
1995_1996,79,CHIBA Katsutoshi,11
1995_1996,81,DORNER Karl-Heinz,10
1995_1996,83,BERNTSEN Simen,8
1995_1996,84,BRENDEN Kristian,7
1995_1996,84,KURY Michael,7
1995_1996,84,OEVERBY Magnus,7
1995_1996,87,GWOZDZ Marek,6
1995_1996,89,HANSEN Paal,5
1995_1996,92,SCHLUP R.,3
1995_1996,93,SKOTAK M.,2
1995_1996,95,GLYVKO Volodimir,1
1996_1997,20,KANTEE Ville,255
1996_1997,28,LIE Haavard,160
1996_1997,30,MATEJA Robert,154
1996_1997,40,MIYAHIRA Hideharu,94
1996_1997,41,KYTOESAHO Pasi,93
1996_1997,46,KRENEK Roman,72
1996_1997,54,KRENEK Robert,50
1996_1997,55,SCHMITT Martin,45
1996_1997,56,STENSRUD Henning,43
1996_1997,61,BRENNA Wilhelm,32
1996_1997,61,MATHIESEN Hein-Arne,32
1996_1997,64,GROENN Egil,29
1996_1997,65,VOLKOV Alexander,22
1996_1997,78,EIGENTLER Markus,12
1996_1997,81,VRHOVNIK Blaz,11
1996_1997,86,HEGENBARTH Olaf,9
1996_1997,86,KANEKO Yusuke,9
1996_1997,88,MESIK Martin,8
1996_1997,93,MEYER Christian,4
1996_1997,93,NAKAMURA Kazuhiro,4
1996_1997,96,JANDA Jakub,3
1996_1997,96,STEGNAR Matija,3
1996_1997,99,GRUGGER Adolf,2
1996_1997,99,KVARSTAD Stian,2
1997_1998,28,SANDAKER Jon Petter,217
1997_1998,31,LOITZL Wolfgang,194
1997_1998,33,WAGNER Michael,176
1997_1998,39,HAUTAMAEKI Matti,104
1997_1998,50,KOBELEV Valery,50
1997_1998,58,ZIMMERMANN Martin,41
1997_1998,60,AAGHEIM Morten,33
1997_1998,65,AUDENRIETH Roland,26
1997_1998,65,RIHTAR Miha,26
1997_1998,68,ZIVIC Milan,23
1997_1998,70,AMMANN Simon,22
1997_1998,70,NISHISHITA Kazuki,22
1997_1998,73,TAKAHASHI Ryuji,20
1997_1998,74,WAKOLM Roland,15
1997_1998,75,COLBY Casey,13
1997_1998,76,SAGBAKKEN Kjell Erik,10
1997_1998,78,ROSKO Vladimir,9
1997_1998,80,KRISMAYR Falko,8
1997_1998,82,CHOI Heung-Chul,6
1997_1998,82,HAKOLA Lauri,6
1997_1998,85,FORSMAN Juho,5
1997_1998,85,FRAS Damjan,5
1997_1998,88,LYSKOVEC Andrej,4
1997_1998,90,DLUGOPOLSKI Kristian,3
1997_1998,93,LANG Grega,2
1997_1998,93,SCHIBKO Alexej,2
1997_1998,93,ZELENCIK Jan,2
1998_1999,32,DOENNEM Olav Magne,167
1998_1999,45,JAAFS Kristoffer,61
1998_1999,47,KIURU Tami,48
1998_1999,54,SALMINEN Pekka,37
1998_1999,60,EBERHARTER Wilfried,28
1998_1999,63,WATASE Yuta,25
1998_1999,64,KHAMIDOULINE Artour,23
1998_1999,66,HEIMDAL Oddgeir,22
1998_1999,68,ALBORN Alan Jacob,21
1998_1999,71,PLNY Tomas,14
1998_1999,73,HLAVA Jakub,13
1998_1999,74,PARPAN Rico,12
1998_1999,75,FREY Leif,11
1998_1999,80,URAM Matej,9
1998_1999,84,AARNES Tom Age,8
1998_1999,84,GAIDUK Pavel,8
1998_1999,84,URH-ZUPAN Primoz,8
1998_1999,87,LOEFFLER Frank,7
1998_1999,89,EBENHOCH Fabian,6
1998_1999,89,KRUCZEK Lukasz,6
1998_1999,91,MYLLAERI Jani,5
1998_1999,91,NORCIC Bine,5
1998_1999,91,SMARISET Marius,5
1998_1999,99,KOCH Martin,2
1998_1999,101,CHOI Yong-Jik,1
1998_1999,101,FILIMONOV Stanislav,1
1998_1999,101,LAJUNEN Akseli,1
1999_2000,42,VASSILIEV Dimitri,67
1999_2000,43,METZLER Bernhard,53
1999_2000,59,HOERL Thomas,22
1999_2000,65,SNELI Arne,14
1999_2000,70,ANDERSEN David,8
1999_2000,70,CHEDAL Emmanuel,8
1999_2000,75,DORAN Brendan,5
1999_2000,76,KIM Hyun-Ki,4
1999_2000,76,SNELI Tore S.,4
1999_2000,79,EBERL Reinhard,1
2000_2001,18,LINDSTROEM Veli-Matti,277
2000_2001,24,MEDVED Igor,179
2000_2001,44,KAISER Stefan,76
2000_2001,45,SOLEM Morten,73
2000_2001,51,SPAETH Georg,52
2000_2001,53,BARDAL Anders,47
2000_2001,54,FETTNER Manuel,45
2000_2001,59,STOERL Dennis,25
2000_2001,62,MUNTERS Johan,19
